Time	M2MShare_1_hop_10	M2MShare_2_hop_10	M2MShare_3_hop_10	M2MShare_1_hop_25	M2MShare_2_hop_25	M2MShare_3_hop_25	M2MShare_1_hop_50	M2MShare_2_hop_50	M2MShare_3_hop_50	M2MShare_1_hop_75	M2MShare_2_hop_75	M2MShare_3_hop_75	M2MShare_1_hop_100	M2MShare_2_hop_100	M2MShare_3_hop_100
118	19	65	140	19	84	226	19	105	341	19	117	415	19	130	489
119	19	66	143	19	85	232	19	106	349	19	118	423	19	132	498
120	19	66	146	19	85	238	19	105	357	19	118	433	19	131	508
121	19	65	149	19	84	243	19	103	363	19	116	439	19	129	514
122	19	65	153	19	83	248	19	103	368	19	116	446	19	128	519
123	19	65	154	19	83	251	19	102	372	19	115	451	19	127	522
124	19	65	157	19	84	254	19	102	375	19	115	454	19	127	526
125	19	65	159	19	84	256	19	102	378	19	115	458	19	127	529
126	18	65	160	18	83	259	18	102	382	18	115	463	18	127	534
127	18	65	164	18	83	264	18	101	389	18	114	471	18	126	541
128	18	64	167	18	82	270	18	100	398	18	113	479	18	124	550
129	18	64	172	18	82	279	18	99	410	18	111	492	18	122	563
130	18	64	176	18	82	287	18	98	420	18	110	502	18	120	574
131	18	64	180	18	82	293	18	97	429	18	109	510	18	119	583
132	18	63	181	18	81	296	18	97	434	18	108	515	18	118	588
133	18	64	182	18	81	299	18	96	437	18	107	518	18	118	591
134	18	64	183	18	81	300	18	97	438	18	108	519	18	118	592
135	18	64	184	18	81	301	17	97	439	18	107	520	17	118	594
136	18	64	184	18	81	301	17	97	440	18	107	521	17	118	594
137	18	64	184	18	81	301	18	96	440	18	107	521	18	118	594
138	17	64	184	17	81	302	17	96	440	17	107	521	17	118	594
139	17	64	184	17	81	302	17	96	441	17	107	521	17	117	595
140	17	64	185	17	81	303	17	96	442	17	107	522	17	118	596
141	17	64	185	17	81	304	17	96	444	17	107	524	17	117	598
142	17	64	187	17	82	307	17	96	448	17	107	528	17	117	601
143	17	63	190	17	81	312	17	95	453	17	106	533	17	116	606
144	17	66	194	17	84	319	17	98	461	17	109	542	17	120	614
145	17	68	200	17	86	325	17	102	469	17	113	549	17	123	620
146	17	70	203	17	89	330	17	104	474	17	115	554	17	126	624
147	17	71	206	17	90	333	17	106	477	17	117	556	17	127	627
148	17	72	208	17	92	336	17	107	479	17	118	559	17	128	629
149	17	73	210	17	93	339	17	108	482	17	119	562	17	129	632
150	17	74	214	17	94	343	17	109	488	17	120	568	17	130	638
151	17	75	218	17	96	350	17	111	497	17	122	577	17	133	647
152	17	76	224	17	98	360	17	113	508	17	125	591	17	136	660
153	17	79	232	17	101	372	17	116	522	17	128	605	17	139	673
154	17	81	237	17	103	382	17	119	534	17	130	616	17	143	685
155	17	82	243	17	105	390	17	121	543	17	133	625	17	145	693
156	17	83	246	17	107	395	17	123	548	17	135	629	17	148	698
157	17	84	247	17	108	398	17	124	551	17	136	632	17	149	701
158	17	84	248	17	108	399	17	124	552	17	136	633	17	149	702
159	17	84	248	17	108	400	17	125	553	17	137	634	17	150	703
160	17	84	249	17	108	400	17	125	553	17	137	634	17	150	704
161	17	84	249	17	108	400	17	125	554	17	137	634	17	150	704
162	17	84	249	17	108	400	17	125	554	17	137	635	17	150	704
163	17	84	249	17	109	401	17	125	555	17	137	635	17	150	705
164	17	84	250	17	109	403	17	126	556	17	138	637	17	151	706
165	17	85	252	17	110	405	17	127	560	17	138	639	17	152	709
166	17	86	255	17	111	409	17	128	563	17	140	643	17	152	713
167	17	86	256	17	111	410	17	128	565	17	140	645	17	153	714
